"PNM Name","ID","Class","R1S1","R1S2","R1S3","R1S4","R1S5","R1S6","R1S7","R1S8","R1S9","R1S10","R1S11","R1S12","Round 1 Average","R2S1","R2S2","R2S3","R2S4","R2S5","R2S6","R2S7","R2S8","R2S9","R2S10","R2S11","R2S12","Round 2 Average","R3S1","R3S2","R3S3","R3S4","R3S5","R3S6","R3S7","R3S8","R3S9","R3S10","R3S11","R3S12","Round 3 Average","R4S1","R4S2","R4S3","R4S4","R4S5","R4S6","R4S7","R4S8","R4S9","R4S10","R4S11","R4S12","Round 4 Average"
"West, Heather",2379,"FR",2,2,2,4,2,2,4,2,2,4,2,4,"",2,2,4,2,4,2,4,2,4,2,2,2,"",2,4,2,4,2,4,4,2,4,2,2,2,"",4,4,4,2,4,2,2,4,2,4,2,2,""
"Kennedy, Tiffany",6042,"SM",4,4,4,2,4,4,2,4,4,2,4,2,"",4,4,2,4,2,2,2,4,2,4,2,2,"",4,2,4,2,4,4,2,2,2,4,4,2,"",2,2,2,4,2,4,4,2,2,2,4,2,""
"Gibson, Crystal",4704,"FR",2,4,2,4,2,2,2,2,4,2,2,4,"",2,4,2,4,2,2,4,2,4,2,2,4,"",2,2,4,2,4,2,4,2,2,4,2,2,"",4,4,4,2,4,2,4,2,4,4,2,2,""
"Ellis, Angela",8357,"SM",4,2,4,2,4,4,2,4,2,4,2,4,"",4,2,4,2,4,2,2,2,4,4,2,4,"",4,4,2,4,4,2,4,2,4,4,2,4,"",2,2,2,4,2,2,4,2,2,2,4,2,""
"Harrison, Amy",1789,"FR",2,2,2,4,2,2,4,4,2,2,4,4,"",2,2,4,2,4,2,2,4,2,2,4,4,"",2,4,2,4,2,2,4,4,2,2,4,2,"",4,4,4,2,4,4,4,2,4,4,2,4,""
"Nelson, Michelle",5442,"SM",4,4,4,2,4,4,2,4,2,2,2,2,"",4,4,2,4,2,4,2,2,4,2,2,4,"",4,2,4,2,4,2,2,2,4,4,2,4,"",2,2,2,4,2,2,2,2,4,2,2,4,""
"Marshall, Kimberly",9105,"FR",2,4,2,4,2,2,2,2,4,2,4,2,"",2,4,2,4,2,4,2,4,2,4,4,2,"",2,2,4,2,4,2,4,4,2,4,4,2,"",4,4,4,2,4,2,2,2,4,2,2,2,""
"Owens, Samantha",3767,"SM",4,2,4,2,4,4,2,4,2,4,2,4,"",4,2,4,2,4,2,4,4,2,4,2,2,"",4,4,2,4,4,2,4,2,2,2,4,4,"",2,2,2,4,2,4,4,2,2,4,4,2,""
"Mcdonald, Rachel",7420,"FR",2,2,2,4,2,2,2,2,4,2,2,2,"",2,2,4,2,4,2,2,4,2,2,4,4,"",2,4,2,4,2,2,4,2,2,4,2,4,"",4,4,4,2,4,4,4,2,2,2,2,2,""
"Cruz, Brittany",2083,"SM",4,4,4,2,4,4,2,4,2,4,2,2,"",4,4,2,4,2,4,2,2,2,4,2,2,"",4,2,4,2,4,4,2,2,4,2,2,2,"",2,2,2,4,2,4,2,4,2,4,2,2,""
"Snyder, Christina",5746,"JR",2,4,2,4,2,2,4,2,4,2,4,2,"",2,4,2,4,2,2,4,4,2,2,2,4,"",2,2,4,2,4,4,2,4,2,2,2,4,"",4,4,4,2,4,2,4,2,2,2,4,2,""
"Rice, Katherine",9409,"SM",4,2,4,2,4,4,2,4,2,2,4,2,"",4,2,4,2,4,2,4,2,2,4,4,2,"",4,4,2,4,4,2,2,2,4,2,2,4,"",2,2,2,4,2,4,4,2,2,4,2,2,""
